Win,Loss,Team,Data,,
31,66,PIT,"[9, 27, 1883]",,
28,68,BAL,"[9, 27, 1883]",,
66,31,PHA,"[9, 28, 1883]",,
51,45,LOU,"[9, 28, 1883]",,
61,37,CIN,"[9, 29, 1883]",,
54,42,NYP,"[9, 29, 1883]",,
66,32,PHA,"[9, 30, 1883]",,
65,33,STL,"[9, 30, 1883]",,
52,45,LOU,"[9, 30, 1883]",,
31,67,PIT,"[9, 30, 1883]",,
0,8,TOL,"[5, 10, 1884]",,
1,10,TOL,"[5, 15, 1884]",,
1,11,TOL,"[5, 16, 1884]",,
1,12,IND,"[5, 22, 1884]",,
1,13,IND,"[5, 24, 1884]",,
1,14,IND,"[5, 25, 1884]",,
2,14,IND,"[5, 27, 1884]",,
2,15,IND,"[5, 29, 1884]",,
17,5,LOU,"[5, 30, 1884]",,
16,6,NYP,"[5, 30, 1884]",,
18,5,LOU,"[5, 31, 1884]",,
17,6,NYP,"[5, 31, 1884]",,
5,18,IND,"[6, 4, 1884]",,
19,8,NYP,"[6, 7, 1884]",,
6,21,IND,"[6, 10, 1884]",,
22,8,NYP,"[6, 12, 1884]",,
6,22,IND,"[6, 12, 1884]",,
23,8,NYP,"[6, 13, 1884]",,
26,9,NYP,"[6, 18, 1884]",,
27,9,NYP,"[6, 21, 1884]",,
10,26,TOL,"[6, 21, 1884]",,
10,27,TOL,"[6, 23, 1884]",,
24,14,CIN,"[6, 27, 1884]",,
10,28,IND,"[6, 27, 1884]",,
13,30,TOL,"[7, 1, 1884]",,
29,16,COL,"[7, 2, 1884]",,
13,31,TOL,"[7, 2, 1884]",,
13,32,PIT,"[7, 2, 1884]",,
30,16,COL,"[7, 4, 1884]",,
14,33,PIT,"[7, 4, 1884]",,
14,34,PIT,"[7, 5, 1884]",,
13,33,IND,"[7, 6, 1884]",,
14,35,PIT,"[7, 6, 1884]",,
9,37,WAS,"[7, 6, 1884]",,
9,38,WAS,"[7, 8, 1884]",,
9,39,WAS,"[7, 10, 1884]",,
34,14,LOU,"[7, 12, 1884]",,
9,40,WAS,"[7, 12, 1884]",,
15,36,IND,"[7, 14, 1884]",,
9,41,WAS,"[7, 14, 1884]",,
30,23,PHA,"[7, 15, 1884]",,
9,42,WAS,"[7, 15, 1884]",,
16,39,PIT,"[7, 17, 1884]",,
9,43,WAS,"[7, 17, 1884]",,
17,39,PIT,"[7, 18, 1884]",,
15,37,IND,"[7, 18, 1884]",,
9,44,WAS,"[7, 18, 1884]",,
35,19,CIN,"[7, 19, 1884]",,
20,35,TOL,"[7, 19, 1884]",,
9,45,WAS,"[7, 19, 1884]",,
36,19,CIN,"[7, 20, 1884]",,
18,40,PIT,"[7, 21, 1884]",,
10,45,WAS,"[7, 21, 1884]",,
33,25,PHA,"[7, 22, 1884]",,
10,46,WAS,"[7, 22, 1884]",,
11,46,WAS,"[7, 23, 1884]",,
44,18,NYP,"[7, 26, 1884]",,
11,47,WAS,"[7, 26, 1884]",,
45,18,NYP,"[7, 28, 1884]",,
11,48,WAS,"[7, 28, 1884]",,
46,18,NYP,"[7, 29, 1884]",,
24,37,BRO,"[7, 29, 1884]",,
47,18,NYP,"[7, 30, 1884]",,
24,38,BRO,"[7, 30, 1884]",,
20,44,PIT,"[7, 30, 1884]",,
11,49,WAS,"[7, 30, 1884]",,
11,50,WAS,"[7, 31, 1884]",,
47,19,NYP,"[8, 1, 1884]",,
24,39,BRO,"[8, 1, 1884]",,
12,50,WAS,"[8, 1, 1884]",,
48,19,NYP,"[8, 2, 1884]",,
41,23,STL,"[8, 2, 1884]",,
12,51,WAS,"[8, 2, 1884]",,
26,39,BRO,"[8, 4, 1884]",,
18,47,IND,"[8, 5, 1884]",,
42,25,CIN,"[8, 6, 1884]",,
27,39,BRO,"[8, 6, 1884]",,
23,45,TOL,"[8, 6, 1884]",,
19,47,IND,"[8, 6, 1884]",,
46,20,COL,"[8, 7, 1884]",,
27,40,BRO,"[8, 7, 1884]",,
23,46,TOL,"[8, 7, 1884]",,
49,19,NYP,"[8, 8, 1884]",,
47,20,COL,"[8, 8, 1884]",,
28,40,BRO,"[8, 8, 1884]",,
23,47,TOL,"[8, 8, 1884]",,
48,20,COL,"[8, 9, 1884]",,
23,48,TOL,"[8, 9, 1884]",,
49,20,COL,"[8, 10, 1884]",,
23,49,TOL,"[8, 10, 1884]",,
19,48,IND,"[8, 10, 1884]",,
50,19,NYP,"[8, 11, 1884]",,
50,20,COL,"[8, 11, 1884]",,
42,30,PHA,"[8, 11, 1884]",,
29,40,BRO,"[8, 11, 1884]",,
21,50,PIT,"[8, 11, 1884]",,
19,49,IND,"[8, 11, 1884]",,
51,19,NYP,"[8, 12, 1884]",,
51,20,COL,"[8, 12, 1884]",,
30,40,BRO,"[8, 12, 1884]",,
21,51,PIT,"[8, 12, 1884]",,
21,52,PIT,"[8, 13, 1884]",,
52,20,NYP,"[8, 14, 1884]",,
51,21,COL,"[8, 14, 1884]",,
46,25,LOU,"[8, 14, 1884]",,
46,27,CIN,"[8, 14, 1884]",,
30,41,BRO,"[8, 14, 1884]",,
20,51,IND,"[8, 14, 1884]",,
47,25,LOU,"[8, 15, 1884]",,
46,28,CIN,"[8, 15, 1884]",,
31,41,BRO,"[8, 15, 1884]",,
20,52,IND,"[8, 15, 1884]",,
53,20,NYP,"[8, 16, 1884]",,
48,25,STL,"[8, 16, 1884]",,
47,28,CIN,"[8, 16, 1884]",,
21,54,PIT,"[8, 16, 1884]",,
53,21,NYP,"[8, 18, 1884]",,
22,54,PIT,"[8, 18, 1884]",,
54,21,NYP,"[8, 19, 1884]",,
55,21,NYP,"[8, 20, 1884]",,
32,43,BRO,"[8, 20, 1884]",,
49,27,STL,"[8, 21, 1884]",,
20,54,IND,"[8, 21, 1884]",,
22,55,PIT,"[8, 22, 1884]",,
56,21,NYP,"[8, 23, 1884]",,
49,28,STL,"[8, 23, 1884]",,
45,33,PHA,"[8, 23, 1884]",,
27,50,TOL,"[8, 23, 1884]",,
22,56,PIT,"[8, 23, 1884]",,
54,24,COL,"[8, 24, 1884]",,
27,51,TOL,"[8, 24, 1884]",,
32,44,BRO,"[8, 25, 1884]",,
22,57,PIT,"[8, 25, 1884]",,
57,21,NYP,"[8, 26, 1884]",,
50,27,LOU,"[8, 26, 1884]",,
50,28,STL,"[8, 26, 1884]",,
49,30,CIN,"[8, 26, 1884]",,
47,33,PHA,"[8, 26, 1884]",,
32,45,BRO,"[8, 26, 1884]",,
27,52,TOL,"[8, 26, 1884]",,
21,55,IND,"[8, 26, 1884]",,
57,22,NYP,"[8, 27, 1884]",,
51,27,LOU,"[8, 27, 1884]",,
48,33,PHA,"[8, 27, 1884]",,
42,32,BAL,"[8, 27, 1884]",,
32,46,BRO,"[8, 27, 1884]",,
22,58,PIT,"[8, 27, 1884]",,
57,23,NYP,"[8, 28, 1884]",,
52,27,LOU,"[8, 28, 1884]",,
49,33,PHA,"[8, 28, 1884]",,
32,47,BRO,"[8, 28, 1884]",,
23,58,PIT,"[8, 28, 1884]",,
56,25,COL,"[8, 29, 1884]",,
28,52,TOL,"[8, 29, 1884]",,
50,33,CIN,"[8, 30, 1884]",,
49,34,PHA,"[8, 30, 1884]",,
33,47,BRO,"[8, 30, 1884]",,
30,52,TOL,"[8, 30, 1884]",,
58,23,NYP,"[9, 1, 1884]",,
33,48,BRO,"[9, 1, 1884]",,
30,53,TOL,"[9, 1, 1884]",,
23,59,PIT,"[9, 1, 1884]",,
59,23,NYP,"[9, 2, 1884]",,
52,33,CIN,"[9, 2, 1884]",,
33,49,BRO,"[9, 2, 1884]",,
30,54,TOL,"[9, 2, 1884]",,
23,60,PIT,"[9, 2, 1884]",,
24,59,IND,"[9, 3, 1884]",,
23,61,PIT,"[9, 3, 1884]",,
34,49,BRO,"[9, 4, 1884]",,
31,54,TOL,"[9, 4, 1884]",,
24,60,IND,"[9, 4, 1884]",,
23,62,PIT,"[9, 4, 1884]",,
60,23,NYP,"[9, 5, 1884]",,
50,34,PHA,"[9, 5, 1884]",,
61,23,NYP,"[9, 6, 1884]",,
59,27,COL,"[9, 6, 1884]",,
52,35,CIN,"[9, 6, 1884]",,
34,50,BRO,"[9, 6, 1884]",,
31,55,TOL,"[9, 6, 1884]",,
24,62,PIT,"[9, 6, 1884]",,
59,28,COL,"[9, 7, 1884]",,
55,29,LOU,"[9, 7, 1884]",,
53,35,CIN,"[9, 7, 1884]",,
50,35,PHA,"[9, 7, 1884]",,
34,51,BRO,"[9, 8, 1884]",,
32,55,TOL,"[9, 8, 1884]",,
54,35,CIN,"[9, 9, 1884]",,
50,36,PHA,"[9, 9, 1884]",,
34,52,BRO,"[9, 9, 1884]",,
33,55,TOL,"[9, 9, 1884]",,
26,60,IND,"[9, 9, 1884]",,
62,23,NYP,"[9, 10, 1884]",,
60,28,COL,"[9, 10, 1884]",,
55,30,LOU,"[9, 10, 1884]",,
51,36,PHA,"[9, 10, 1884]",,
46,34,BAL,"[9, 10, 1884]",,
26,61,IND,"[9, 10, 1884]",,
25,63,PIT,"[9, 10, 1884]",,
62,24,NYP,"[9, 11, 1884]",,
61,28,COL,"[9, 11, 1884]",,
56,30,LOU,"[9, 11, 1884]",,
55,35,CIN,"[9, 11, 1884]",,
51,37,PHA,"[9, 11, 1884]",,
34,53,BRO,"[9, 11, 1884]",,
34,55,TOL,"[9, 11, 1884]",,
27,61,IND,"[9, 11, 1884]",,
25,64,PIT,"[9, 11, 1884]",,
63,24,NYP,"[9, 12, 1884]",,
57,30,LOU,"[9, 12, 1884]",,
53,36,STL,"[9, 12, 1884]",,
61,29,COL,"[9, 13, 1884]",,
52,37,PHA,"[9, 13, 1884]",,
47,35,BAL,"[9, 13, 1884]",,
35,53,BRO,"[9, 13, 1884]",,
34,56,TOL,"[9, 13, 1884]",,
27,62,IND,"[9, 13, 1884]",,
25,65,PIT,"[9, 13, 1884]",,
63,25,NYP,"[9, 14, 1884]",,
62,29,COL,"[9, 14, 1884]",,
58,30,LOU,"[9, 14, 1884]",,
54,36,STL,"[9, 14, 1884]",,
52,38,PHA,"[9, 14, 1884]",,
35,54,BRO,"[9, 14, 1884]",,
63,26,NYP,"[9, 15, 1884]",,
55,36,STL,"[9, 15, 1884]",,
35,56,TOL,"[9, 15, 1884]",,
28,62,IND,"[9, 15, 1884]",,
36,56,TOL,"[9, 16, 1884]",,
35,55,BRO,"[9, 16, 1884]",,
25,66,PIT,"[9, 16, 1884]",,
64,26,NYP,"[9, 17, 1884]",,
62,30,COL,"[9, 17, 1884]",,
60,30,LOU,"[9, 17, 1884]",,
55,37,STL,"[9, 17, 1884]",,
53,38,PHA,"[9, 17, 1884]",,
28,63,IND,"[9, 17, 1884]",,
25,67,PIT,"[9, 17, 1884]",,
64,27,NYP,"[9, 18, 1884]",,
62,31,COL,"[9, 18, 1884]",,
56,37,STL,"[9, 18, 1884]",,
53,39,PHA,"[9, 18, 1884]",,
48,37,BAL,"[9, 18, 1884]",,
37,56,TOL,"[9, 18, 1884]",,
36,55,BRO,"[9, 18, 1884]",,
28,64,IND,"[9, 18, 1884]",,
25,68,PIT,"[9, 18, 1884]",,
49,37,BAL,"[9, 19, 1884]",,
57,37,STL,"[9, 20, 1884]",,
50,37,BAL,"[9, 20, 1884]",,
53,40,PHA,"[9, 20, 1884]",,
38,56,TOL,"[9, 20, 1884]",,
25,69,PIT,"[9, 20, 1884]",,
58,37,STL,"[9, 21, 1884]",,
50,38,BAL,"[9, 21, 1884]",,
53,41,PHA,"[9, 21, 1884]",,
36,57,BRO,"[9, 21, 1884]",,
28,65,IND,"[9, 21, 1884]",,
26,69,PIT,"[9, 21, 1884]",,
63,31,LOU,"[9, 22, 1884]",,
63,34,COL,"[9, 22, 1884]",,
62,35,CIN,"[9, 22, 1884]",,
50,39,BAL,"[9, 22, 1884]",,
39,56,TOL,"[9, 22, 1884]",,
59,37,STL,"[9, 23, 1884]",,
36,58,BRO,"[9, 23, 1884]",,
66,29,NYP,"[9, 24, 1884]",,
51,39,BAL,"[9, 24, 1884]",,
53,43,PHA,"[9, 24, 1884]",,
40,56,TOL,"[9, 24, 1884]",,
26,70,PIT,"[9, 24, 1884]",,
66,30,NYP,"[9, 25, 1884]",,
63,32,LOU,"[9, 25, 1884]",,
52,39,BAL,"[9, 25, 1884]",,
37,58,BRO,"[9, 25, 1884]",,
28,66,IND,"[9, 25, 1884]",,
27,70,PIT,"[9, 25, 1884]",,
67,30,NYP,"[9, 26, 1884]",,
37,59,BRO,"[9, 26, 1884]",,
68,30,NYP,"[9, 27, 1884]",,
64,34,COL,"[9, 27, 1884]",,
62,36,CIN,"[9, 27, 1884]",,
60,37,STL,"[9, 27, 1884]",,
54,43,PHA,"[9, 27, 1884]",,
41,56,TOL,"[9, 27, 1884]",,
37,60,BRO,"[9, 27, 1884]",,
28,67,IND,"[9, 27, 1884]",,
28,70,PIT,"[9, 27, 1884]",,
69,30,NYP,"[9, 29, 1884]",,
64,35,COL,"[9, 29, 1884]",,
63,35,LOU,"[9, 29, 1884]",,
62,37,CIN,"[9, 29, 1884]",,
54,40,BAL,"[9, 29, 1884]",,
55,43,PHA,"[9, 29, 1884]",,
41,57,TOL,"[9, 29, 1884]",,
38,60,BRO,"[9, 29, 1884]",,
29,70,PIT,"[9, 29, 1884]",,
70,30,NYP,"[10, 1, 1884]",,
64,36,COL,"[10, 1, 1884]",,
62,38,CIN,"[10, 1, 1884]",,
61,38,STL,"[10, 1, 1884]",,
55,40,BAL,"[10, 1, 1884]",,
55,44,PHA,"[10, 1, 1884]",,
42,57,TOL,"[10, 1, 1884]",,
38,61,BRO,"[10, 1, 1884]",,
29,68,IND,"[10, 1, 1884]",,
30,70,PIT,"[10, 1, 1884]",,
62,39,CIN,"[10, 2, 1884]",,
56,40,BAL,"[10, 2, 1884]",,
29,69,IND,"[10, 2, 1884]",,
30,71,PIT,"[10, 2, 1884]",,
65,36,COL,"[10, 3, 1884]",,
63,39,CIN,"[10, 3, 1884]",,
30,72,PIT,"[10, 3, 1884]",,
70,31,NYP,"[10, 4, 1884]",,
66,36,COL,"[10, 4, 1884]",,
63,38,STL,"[10, 4, 1884]",,
64,39,CIN,"[10, 4, 1884]",,
58,40,BAL,"[10, 4, 1884]",,
56,44,PHA,"[10, 4, 1884]",,
29,71,IND,"[10, 4, 1884]",,
30,73,PIT,"[10, 4, 1884]",,
66,37,COL,"[10, 6, 1884]",,
64,37,LOU,"[10, 6, 1884]",,
64,38,STL,"[10, 6, 1884]",,
59,40,BAL,"[10, 6, 1884]",,
57,44,PHA,"[10, 6, 1884]",,
38,62,BRO,"[10, 6, 1884]",,
29,72,IND,"[10, 6, 1884]",,
65,39,CIN,"[10, 7, 1884]",,
60,40,BAL,"[10, 7, 1884]",,
30,74,PIT,"[10, 7, 1884]",,
71,31,NYP,"[10, 8, 1884]",,
67,37,COL,"[10, 8, 1884]",,
61,40,BAL,"[10, 8, 1884]",,
58,44,PHA,"[10, 8, 1884]",,
42,58,TOL,"[10, 8, 1884]",,
29,73,IND,"[10, 8, 1884]",,
72,31,NYP,"[10, 9, 1884]",,
67,38,COL,"[10, 9, 1884]",,
65,38,STL,"[10, 9, 1884]",,
65,40,CIN,"[10, 9, 1884]",,
62,40,BAL,"[10, 9, 1884]",,
58,45,PHA,"[10, 9, 1884]",,
43,58,TOL,"[10, 9, 1884]",,
39,62,BRO,"[10, 9, 1884]",,
30,75,PIT,"[10, 9, 1884]",,
29,74,IND,"[10, 9, 1884]",,
72,32,NYP,"[10, 10, 1884]",,
66,38,STL,"[10, 10, 1884]",,
66,39,LOU,"[10, 10, 1884]",,
66,40,CIN,"[10, 10, 1884]",,
62,41,BAL,"[10, 10, 1884]",,
59,45,PHA,"[10, 10, 1884]",,
29,75,IND,"[10, 10, 1884]",,
68,38,COL,"[10, 11, 1884]",,
62,42,BAL,"[10, 11, 1884]",,
60,45,PHA,"[10, 11, 1884]",,
44,58,TOL,"[10, 11, 1884]",,
40,62,BRO,"[10, 11, 1884]",,
30,76,PIT,"[10, 11, 1884]",,
29,76,IND,"[10, 11, 1884]",,
73,32,NYP,"[10, 13, 1884]",,
69,38,COL,"[10, 13, 1884]",,
67,39,STL,"[10, 13, 1884]",,
67,40,CIN,"[10, 13, 1884]",,
62,43,BAL,"[10, 13, 1884]",,
60,46,PHA,"[10, 13, 1884]",,
45,58,TOL,"[10, 13, 1884]",,
40,63,BRO,"[10, 13, 1884]",,
29,77,IND,"[10, 13, 1884]",,
74,32,NYP,"[10, 14, 1884]",,
67,41,CIN,"[10, 14, 1884]",,
30,77,PIT,"[10, 14, 1884]",,
75,32,NYP,"[10, 15, 1884]",,
69,39,COL,"[10, 15, 1884]",,
68,40,LOU,"[10, 15, 1884]",,
68,41,CIN,"[10, 15, 1884]",,
63,43,BAL,"[10, 15, 1884]",,
61,46,PHA,"[10, 15, 1884]",,
46,58,TOL,"[10, 15, 1884]",,
40,64,BRO,"[10, 15, 1884]",,
30,78,PIT,"[10, 15, 1884]",,
29,78,IND,"[10, 15, 1884]",,
16,5,STL,"[5, 19, 1885]",,
13,21,PHA,"[6, 5, 1885]",,
25,8,STL,"[6, 6, 1885]",,
26,8,STL,"[6, 8, 1885]",,
19,17,LOU,"[6, 8, 1885]",,
28,9,STL,"[6, 12, 1885]",,
20,26,BAL,"[6, 26, 1885]",BRO,"[6, 26, 1885]"
42,17,STL,"[7, 10, 1885]",,
34,26,CIN,"[7, 10, 1885]",,
23,34,BAL,"[7, 10, 1885]",,
22,34,BRO,"[7, 10, 1885]",,
43,17,STL,"[7, 11, 1885]",,
23,35,BAL,"[7, 11, 1885]",,
22,35,BRO,"[7, 11, 1885]",,
44,17,STL,"[7, 12, 1885]",,
23,36,BAL,"[7, 12, 1885]",,
22,36,BRO,"[7, 12, 1885]",,
45,17,STL,"[7, 14, 1885]",,
22,37,BRO,"[7, 14, 1885]",,
46,17,STL,"[7, 15, 1885]",,
27,35,PHA,"[7, 15, 1885]",,
23,37,BRO,"[7, 15, 1885]",,
47,17,STL,"[7, 16, 1885]",,
23,38,BRO,"[7, 16, 1885]",,
48,18,STL,"[7, 19, 1885]",,
40,27,CIN,"[7, 19, 1885]",,
24,40,BAL,"[7, 19, 1885]",,
38,28,PIT,"[7, 20, 1885]",,
49,18,STL,"[7, 21, 1885]",,
40,28,CIN,"[7, 21, 1885]",,
50,18,STL,"[7, 22, 1885]",,
30,37,PHA,"[7, 22, 1885]",,
24,41,BRO,"[7, 22, 1885]",,
41,28,CIN,"[7, 23, 1885]",PIT,"[7, 23, 1885]"
25,41,BAL,"[7, 23, 1885]",,
24,42,BRO,"[7, 23, 1885]",,
42,28,PIT,"[7, 25, 1885]",,
25,42,BRO,"[7, 25, 1885]",,
41,30,CIN,"[7, 26, 1885]",,
30,39,PHA,"[7, 27, 1885]",,
27,41,BAL,"[7, 27, 1885]",,
29,43,BAL,"[7, 31, 1885]",,
27,44,BRO,"[8, 1, 1885]",,
52,21,STL,"[8, 2, 1885]",,
42,33,CIN,"[8, 2, 1885]",,
52,22,STL,"[8, 3, 1885]",,
53,22,STL,"[8, 4, 1885]",,
30,43,BAL,"[8, 4, 1885]",,
54,22,STL,"[8, 5, 1885]",,
31,43,BAL,"[8, 5, 1885]",,
55,22,STL,"[8, 6, 1885]",,
27,45,BRO,"[8, 6, 1885]",,
28,45,BRO,"[8, 7, 1885]",,
56,22,STL,"[8, 8, 1885]",,
31,44,BAL,"[8, 8, 1885]",,
56,23,STL,"[8, 9, 1885]",,
34,44,PHA,"[8, 10, 1885]",,
29,45,BRO,"[8, 10, 1885]",,
47,34,CIN,"[8, 11, 1885]",,
31,45,BAL,"[8, 12, 1885]",BRO,"[8, 12, 1885]"
48,34,CIN,"[8, 13, 1885]",,
44,38,LOU,"[8, 13, 1885]",,
58,24,STL,"[8, 15, 1885]",,
48,35,CIN,"[8, 15, 1885]",,
44,39,LOU,"[8, 15, 1885]",,
33,45,BRO,"[8, 15, 1885]",,
49,35,CIN,"[8, 16, 1885]",,
45,39,LOU,"[8, 16, 1885]",,
33,46,BRO,"[8, 17, 1885]",,
49,36,CIN,"[8, 18, 1885]",,
46,39,LOU,"[8, 18, 1885]",,
34,46,BRO,"[8, 18, 1885]",,
32,48,BAL,"[8, 18, 1885]",,
60,25,STL,"[8, 19, 1885]",,
46,40,LOU,"[8, 19, 1885]",,
34,47,BRO,"[8, 19, 1885]",,
28,51,NYP,"[8, 19, 1885]",,
46,41,LOU,"[8, 20, 1885]",,
37,48,PHA,"[8, 20, 1885]",,
34,48,BAL,"[8, 20, 1885]",BRO,"[8, 20, 1885]"
38,48,PHA,"[8, 21, 1885]",,
35,48,BRO,"[8, 21, 1885]",,
28,53,NYP,"[8, 21, 1885]",,
39,48,PHA,"[8, 22, 1885]",,
28,54,NYP,"[8, 22, 1885]",,
51,38,CIN,"[8, 23, 1885]",,
49,38,PIT,"[8, 24, 1885]",,
40,48,PHA,"[8, 24, 1885]",,
28,55,NYP,"[8, 24, 1885]",,
46,44,LOU,"[8, 26, 1885]",,
40,49,PHA,"[8, 26, 1885]",,
29,55,NYP,"[8, 26, 1885]",,
51,40,CIN,"[8, 27, 1885]",,
52,40,CIN,"[8, 28, 1885]",,
41,49,PHA,"[8, 28, 1885]",,
47,45,LOU,"[8, 29, 1885]",,
34,54,BAL,"[8, 29, 1885]",,
48,45,LOU,"[8, 30, 1885]",,
42,49,PHA,"[8, 31, 1885]",,
41,48,BRO,"[8, 31, 1885]",,
42,48,BRO,"[9, 1, 1885]",,
43,49,PHA,"[9, 2, 1885]",,
30,58,NYP,"[9, 2, 1885]",,
65,28,STL,"[9, 3, 1885]",,
54,41,CIN,"[9, 3, 1885]",,
48,46,LOU,"[9, 3, 1885]",,
44,49,PHA,"[9, 3, 1885]",,
42,50,BRO,"[9, 3, 1885]",,
34,57,BAL,"[9, 3, 1885]",,
31,58,NYP,"[9, 3, 1885]",,
44,50,PHA,"[9, 4, 1885]",,
35,57,BAL,"[9, 4, 1885]",,
66,28,STL,"[9, 5, 1885]",,
55,41,CIN,"[9, 5, 1885]",,
48,47,LOU,"[9, 5, 1885]",,
45,50,PHA,"[9, 5, 1885]",,
42,51,BRO,"[9, 5, 1885]",,
35,58,BAL,"[9, 5, 1885]",,
32,58,NYP,"[9, 5, 1885]",,
67,28,STL,"[9, 6, 1885]",,
48,48,LOU,"[9, 6, 1885]",,
42,52,BRO,"[9, 7, 1885]",,
33,58,NYP,"[9, 7, 1885]",,
55,42,CIN,"[9, 8, 1885]",,
48,49,LOU,"[9, 8, 1885]",,
46,50,PHA,"[9, 8, 1885]",,
43,52,BRO,"[9, 8, 1885]",,
33,59,NYP,"[9, 8, 1885]",,
68,28,STL,"[9, 9, 1885]",,
49,49,LOU,"[9, 9, 1885]",,
43,53,BRO,"[9, 9, 1885]",,
35,59,BAL,"[9, 9, 1885]",,
34,59,NYP,"[9, 9, 1885]",,
69,28,STL,"[9, 10, 1885]",,
49,50,LOU,"[9, 10, 1885]",,
35,60,BAL,"[9, 10, 1885]",,
69,29,STL,"[9, 11, 1885]",,
53,44,PIT,"[9, 11, 1885]",,
47,50,PHA,"[9, 11, 1885]",,
44,53,BRO,"[9, 11, 1885]",,
36,60,BAL,"[9, 11, 1885]",,
70,29,STL,"[9, 12, 1885]",,
56,43,CIN,"[9, 12, 1885]",,
53,45,PIT,"[9, 12, 1885]",,
50,50,LOU,"[9, 12, 1885]",,
47,51,PHA,"[9, 12, 1885]",,
45,53,BRO,"[9, 12, 1885]",,
36,61,BAL,"[9, 12, 1885]",,
57,43,CIN,"[9, 14, 1885]",,
47,52,PHA,"[9, 14, 1885]",,
71,29,STL,"[9, 15, 1885]",,
58,43,CIN,"[9, 15, 1885]",,
54,45,PIT,"[9, 15, 1885]",,
50,51,LOU,"[9, 15, 1885]",,
47,53,PHA,"[9, 15, 1885]",,
46,53,BRO,"[9, 15, 1885]",,
36,62,BAL,"[9, 15, 1885]",,
35,61,NYP,"[9, 15, 1885]",,
72,29,STL,"[9, 16, 1885]",,
59,43,CIN,"[9, 16, 1885]",,
54,46,PIT,"[9, 16, 1885]",,
50,52,LOU,"[9, 16, 1885]",,
47,54,PHA,"[9, 16, 1885]",,
36,63,BAL,"[9, 16, 1885]",,
72,30,STL,"[9, 17, 1885]",,
60,43,CIN,"[9, 17, 1885]",,
54,47,PIT,"[9, 17, 1885]",,
50,53,LOU,"[9, 17, 1885]",,
48,53,BRO,"[9, 17, 1885]",,
48,54,PHA,"[9, 17, 1885]",,
37,61,NYP,"[9, 17, 1885]",,
36,64,BAL,"[9, 17, 1885]",,
54,48,PIT,"[9, 18, 1885]",,
73,30,STL,"[9, 19, 1885]",,
61,43,CIN,"[9, 19, 1885]",,
54,49,PIT,"[9, 19, 1885]",,
50,54,LOU,"[9, 19, 1885]",,
49,53,BRO,"[9, 19, 1885]",,
48,55,PHA,"[9, 19, 1885]",,
39,61,NYP,"[9, 19, 1885]",,
36,65,BAL,"[9, 19, 1885]",,
61,44,CIN,"[9, 21, 1885]",,
50,55,LOU,"[9, 21, 1885]",,
49,55,PHA,"[9, 21, 1885]",,
74,30,STL,"[9, 22, 1885]",,
62,44,CIN,"[9, 22, 1885]",,
75,30,STL,"[9, 23, 1885]",,
55,49,PIT,"[9, 23, 1885]",,
51,55,LOU,"[9, 23, 1885]",,
49,56,PHA,"[9, 23, 1885]",,
39,63,NYP,"[9, 23, 1885]",,
36,66,BAL,"[9, 23, 1885]",,
76,30,STL,"[9, 24, 1885]",,
62,45,CIN,"[9, 24, 1885]",,
55,50,PIT,"[9, 24, 1885]",,
51,56,LOU,"[9, 24, 1885]",,
50,56,PHA,"[9, 24, 1885]",,
37,66,BAL,"[9, 24, 1885]",,
77,30,STL,"[9, 25, 1885]",,
55,51,PIT,"[9, 25, 1885]",,
38,66,BAL,"[9, 25, 1885]",,
78,30,STL,"[9, 26, 1885]",,
62,46,CIN,"[9, 26, 1885]",,
55,52,PIT,"[9, 26, 1885]",,
51,57,LOU,"[9, 26, 1885]",,
50,57,BRO,"[9, 26, 1885]",,
41,63,NYP,"[9, 26, 1885]",,
39,66,BAL,"[9, 26, 1885]",,
78,31,STL,"[9, 28, 1885]",,
63,46,CIN,"[9, 28, 1885]",,
55,53,PIT,"[9, 28, 1885]",,
52,56,PHA,"[9, 28, 1885]",,
52,57,LOU,"[9, 28, 1885]",,
50,58,BRO,"[9, 28, 1885]",,
42,63,NYP,"[9, 28, 1885]",,
39,67,BAL,"[9, 28, 1885]",,
79,31,STL,"[9, 29, 1885]",,
63,47,CIN,"[9, 29, 1885]",,
56,53,PIT,"[9, 29, 1885]",,
52,58,LOU,"[9, 29, 1885]",,
51,58,BRO,"[9, 29, 1885]",,
42,64,NYP,"[9, 29, 1885]",,
40,67,BAL,"[9, 29, 1885]",,
79,32,STL,"[9, 30, 1885]",,
63,48,CIN,"[9, 30, 1885]",,
56,54,PIT,"[9, 30, 1885]",,
53,57,PHA,"[9, 30, 1885]",,
53,58,LOU,"[9, 30, 1885]",,
43,64,NYP,"[9, 30, 1885]",,
40,68,BAL,"[9, 30, 1885]",,
79,33,STL,"[10, 1, 1885]",,
63,49,CIN,"[10, 1, 1885]",,
56,55,PIT,"[10, 1, 1885]",,
54,57,PHA,"[10, 1, 1885]",,
53,59,LOU,"[10, 1, 1885]",,
44,64,NYP,"[10, 1, 1885]",,
41,68,BAL,"[10, 1, 1885]",,
55,57,PHA,"[10, 5, 1885]",,
25,16,STL,"[6, 7, 1886]",,
13,23,NYP,"[6, 8, 1886]",,
23,23,LOU,"[6, 13, 1886]",,
35,21,STL,"[6, 27, 1886]",,
36,21,STL,"[6, 28, 1886]",,
37,21,STL,"[6, 29, 1886]",,
28,35,CIN,"[7, 1, 1886]",,
