Loss,Win,Team,Date,Img_Link
0,0,Everyone,"4, 23, 1901",
0,1,Chicago White Sox,"4, 24, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
1,0,Cleveland Blues,"4, 24, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
0,2,Chicago White Sox,"4, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
2,0,Cleveland Blues,"4, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
0,3,Detroit Tigers,"4, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
1,2,Chicago White Sox,"4, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
2,1,Cleveland Blues,"4, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
3,0,Milwaukee Brewers,"4, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
0,4,Detroit Tigers,"4, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
1,3,Chicago White Sox,"4, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
3,1,Cleveland Blues,"4, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
4,0,Milwaukee Brewers,"4, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
0,5,Detroit Tigers,"4, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
2,3,Chicago White Sox,"4, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
3,2,Cleveland Blues,"4, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
5,0,Milwaukee Brewers,"4, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
1,5,Detroit Tigers,"4, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
2,4,Chicago White Sox,"4, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
2,2,Baltimore Orioles ,"4, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
4,2,Cleveland Blues,"4, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
5,1,Milwaukee Brewers,"4, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
1,4,Washington Senators,"5, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
2,5,Chicago White Sox,"5, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
4,3,Cleveland Blues,"5, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
4,1,Boston Americans,"5, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
6,1,Milwaukee Brewers,"5, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
2,6,Detroit Tigers,"5, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
3,5,Chicago White Sox,"5, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
5,3,Cleveland Blues,"5, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
6,2,Milwaukee Brewers,"5, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
2,7,Detroit Tigers,"5, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
3,6,Chicago White Sox,"5, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
3,4,Baltimore Orioles ,"5, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
6,3,Cleveland Blues,"5, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
5,2,Boston Americans,"5, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
7,2,Milwaukee Brewers,"5, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
3,7,Chicago White Sox,"5, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
6,4,Cleveland Blues,"5, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
8,2,Milwaukee Brewers,"5, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
3,8,Detroit Tigers,"5, 5, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
4,7,Chicago White Sox,"5, 5, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
7,4,Cleveland Blues,"5, 5, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
8,3,Milwaukee Brewers,"5, 5, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
3,9,Detroit Tigers,"5, 6, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
4,8,Chicago White Sox,"5, 6, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
4,5,Baltimore Orioles ,"5, 6, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
5,4,Boston Americans,"5, 6, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
8,4,Cleveland Blues,"5, 6, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
9,3,Milwaukee Brewers,"5, 6, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
3,10,Detroit Tigers,"5, 7, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
4,6,Baltimore Orioles ,"5, 7, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
